               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11741,            0.028312,                   0,           0.0011617,             0.25439,           0.0011795,          0.00026949,            0.099917,            0.018108,                   0,               0.091,               0.001,               0.001
                   1,            0.098971,            0.024047,                   0,            0.060429,           0.0087719,           0.0077727,           0.0016358,            0.086404,            0.013955,                   0,            0.080892,           0.0018921,           0.0018921
                   2,             0.08664,            0.021402,                   0,             0.11896,             0.38596,             0.11827,            0.035317,            0.074074,            0.012434,                   0,            0.070566,           0.0025664,           0.0025664
                   3,            0.074815,            0.021646,                   0,             0.49854,             0.40351,              0.3961,             0.11234,            0.069122,            0.011321,                   0,            0.060023,           0.0030229,           0.0030229
                   4,            0.064789,            0.021408,                   0,             0.64724,             0.44737,             0.48593,             0.18072,            0.071141,           0.0096507,                   0,            0.049262,           0.0032616,           0.0032616
                   5,            0.061249,            0.019477,                   0,             0.47775,             0.45614,              0.4801,             0.19553,            0.062568,           0.0095963,                   0,            0.038283,           0.0032825,           0.0032825
                   6,            0.055563,            0.018488,                   0,             0.56192,             0.52632,             0.53495,             0.23065,             0.05925,           0.0089521,                   0,            0.027086,           0.0030856,           0.0030856
                   7,            0.053867,            0.018422,                   0,             0.64467,             0.68421,              0.6485,             0.23293,            0.056916,           0.0083122,                   0,            0.015671,           0.0026709,           0.0026709
                   8,            0.050017,            0.017034,                   0,              0.7589,             0.74561,             0.73204,             0.32297,            0.046903,           0.0082321,                   0,           0.0040384,           0.0020384,           0.0020384
                   9,            0.047155,             0.01678,                   0,               0.831,             0.76316,             0.79325,             0.33237,            0.048613,           0.0076451,                   0,             0.00109,             0.00109,             0.00109
